Timestamp,Age,Gender,Occupation,Education Level,"Which Social Media Apps you are use (e.g. WhatsApp, Facebook, Instagram)",Frequency of use,Average time spent on social media app (per day in hour),Reading printed newspapers,Reading Online Newspapers
17-04-2024 13:13,20,Female,Student,Bachelor's Degree,Instagram,Occasionally,2 hours,Rarely,Rarely
17-04-2024 14:11,21,Female,Student,Bachelor's Degree,What'sApp,Rarely,2 hours,Occasionally,Daily
17-04-2024 14:20,22,Female,Doctor,Doctoral Degree,Both 3 apps are using,Occasionally,Per day 3/4 hours,Rarely,Occasionally
17-04-2024 14:24,22,Male,Buisness,No any Educational Background,WhatsApp,Daily,12hr,Daily,Daily
17-04-2024 14:29,20,Male,Student,Bachelor's Degree,Instagram,Daily,2 to 4,Rarely,Rarely
17-04-2024 14:32,25,Male,Employee,Bachelor's Degree,All,Daily,3-4 Hrs,Occasionally,Rarely
17-04-2024 14:39,22,Female,Student,Bachelor's Degree,Watsapp,Daily,1hr,Rarely,Rarely
17-04-2024 14:49,21,Female,BSC agri,Other,WhatsApp,Daily,4 hours,Occasionally,Daily
17-04-2024 14:51,20,Male,Student,High School or equivalent,"WhatsApp, Instagram",Daily,2 hours,Rarely,Occasionally
17-04-2024 14:57,22,Female,Student,Bachelor's Degree,Instagram,Daily,3 hr,Rarely,Rarely
17-04-2024 15:00,18,Female,student,Bachelor's Degree,whatsapp,Rarely,? hours,Rarely,Rarely
17-04-2024 15:00,18,Female,Buisness,Bachelor's Degree,WhatsApp,Daily,4-5 hours,Rarely,Rarely
17-04-2024 15:03,18,Female,Studying,Bachelor's Degree,"WhatsApp, Instagram",Daily,4 hrs,Rarely,Rarely
17-04-2024 15:05,24,Male,Education,Bachelor's Degree,Instagram,Rarely,2 hrs,Daily,Rarely
17-04-2024 15:13,21,Female,Siddhika,Bachelor's Degree,Instagram,Daily,7hours,Rarely,Rarely
17-04-2024 15:49,21,Female,Student,Master's Degree,"Whatsapp, Instagram, Snapchat",Daily,1 hr,Rarely,Occasionally
17-04-2024 16:21,20,Male,Student,Bachelor's Degree,Instagram,Daily,2 hours,Daily,Rarely
17-04-2024 16:54,21,Female,Student,Doctoral Degree,Instagram,Occasionally,1.30 hr,Rarely,Rarely
17-04-2024 17:01,19,Male,Student,Bachelor's Degree,"Instagram, WhatsApp",Daily,2-3 hr,Rarely,Rarely
17-04-2024 18:16,21,Female,Education,Bachelor's Degree,"What's app , Facebook, Instagram,snapchat",Daily,2,Occasionally,Occasionally
17-04-2024 22:15,16,Female,Student,High School or equivalent,WhatsApp,Daily,10-12 hours,Rarely,Occasionally
17-04-2024 23:21,23,Male,Student,Bachelor's Degree,Whatsapp,Rarely,1 hr,Occasionally,Daily
18-04-2024 20:34,24,Male,Engineer,Bachelor's Degree,All instagram whatspp facebook,Daily,2hr,Rarely,Rarely
18-04-2024 20:52,24,Male,Student,Bachelor's Degree,Whatsapp,Daily,1 hour,Daily,Rarely
19-04-2024 12:13,23,Female,Pharmacy,Pharmaceutical Degree,WhatsApp Facebook Instagram,Daily,24-Jul,Rarely,Occasionally
19-04-2024 19:45,Fatangare Ankita Chandrakant,Female,Student,Pharmaceutical Degree,WhatsApp,Rarely,2 hours,Rarely,Daily
19-04-2024 19:46,21,Female,Student,Bachelor's Degree,WhatsApp,Daily,2,Occasionally,Occasionally
19-04-2024 19:51,23,Female,Student,Pharmaceutical Degree,Instagram,Occasionally,2 hr,Rarely,Rarely
19-04-2024 19:52,22,Male,Student,Doctoral Degree,WhatsApp,Daily,3hr,Occasionally,Rarely
19-04-2024 19:53,21,Female,Student,Bachelor's Degree,WhatsApp and Instagram,Occasionally,4hr,Rarely,Rarely
19-04-2024 19:55,18,Female,Student,High School or equivalent,WhatsApp,Rarely,1hr,Occasionally,Rarely
19-04-2024 20:00,20,Male,Student,Bachelor's Degree,"WhatsApp, Instagram",Occasionally,4hr,Rarely,Rarely
19-04-2024 20:04,39,Female,Aasha,Other,WhatsApp,Daily,3 hours,Daily,Rarely
19-04-2024 20:05,39,Male,Worker,Other,WhatsApp,Daily,2 hours,Daily,Rarely
19-04-2024 20:07,22,Female,Student,Bachelor's Degree,Instagram,Daily,5 hours,Occasionally,Rarely
19-04-2024 20:08,25,Female,Student,Bachelor's Degree,"WhatsApp, Instagram",Daily,2 hours,Rarely,Daily
19-04-2024 20:09,21,Female,Student,Bachelor's Degree,"Whatsapp,instagram",Daily,4hr,Rarely,Rarely
19-04-2024 20:09,36,Male,Employee,Bachelor's Degree,"WhatsApp, Instagram",Daily,3 hours,Rarely,Daily
