Age,Gender,Income,Product_Category,Promotion,Sales
56,Male,74663.63012852042,Books,Yes,38626.26646288456
46,Female,55672.216510139864,Clothing,No,28874.82609783251
32,Female,41890.13330253327,Electronics,No,21751.329499651278
60,Female,99769.9600126169,Books,Yes,51245.93465326625
25,Male,54094.50417887783,Clothing,No,27502.30965676634
38,Male,56110.96194637404,Books,No,29008.954471153455
56,Male,33089.90569533354,Books,Yes,17688.94522225342
36,Male,83584.76389999434,Clothing,No,42555.74318823817
40,Male,75494.57806251908,Books,No,38564.025299424444
28,Male,37661.569023100834,Electronics,Yes,19539.938723638148
28,Male,26590.483649267415,Electronics,Yes,13901.438100319965
41,Male,74439.94416597704,Books,No,38096.66365541225
53,Female,72360.89714249081,Clothing,Yes,37201.914189530806
57,Female,41860.76215985675,Books,No,22251.847600778532
41,Male,96069.08498003283,Electronics,Yes,49021.61658461144
20,Male,32084.63134247202,Books,No,16463.089695045834
39,Female,54586.78408340815,Books,Yes,28111.477138701495
19,Male,95489.27361340792,Electronics,No,48269.099631335725
41,Male,53578.18535408979,Books,No,27588.363338981297
61,Male,71082.07581312684,Books,No,36823.574438139935
47,Female,51807.55183702354,Clothing,Yes,27044.915797254907
55,Female,41937.2161878936,Clothing,Yes,22072.482382033082
19,Female,98718.21183678626,Electronics,No,49870.96600130515
38,Female,52746.72050520344,Electronics,No,27259.932779295268
50,Female,91527.93629433075,Electronics,Yes,46869.23446529911
29,Male,38396.3684712869,Clothing,Yes,19797.805277233056
39,Female,37048.37632200666,Electronics,Yes,19540.66786669277
61,Male,22490.72663076091,Electronics,Yes,12505.606451803758
42,Male,72133.3460300708,Electronics,Yes,36825.469124922434
44,Female,49482.10749790089,Clothing,Yes,25770.10710811355
59,Female,89148.65998717096,Books,No,45699.1996586087
45,Male,57856.792535324574,Electronics,Yes,29997.584382147794
33,Male,97455.47423317774,Books,No,49571.227441373216
32,Male,34842.04125624969,Electronics,Yes,18223.995615964715
64,Female,89489.85343644886,Books,Yes,46217.06784841318
61,Female,82127.74822333934,Clothing,No,42550.879022362635
20,Female,81673.74757152416,Clothing,No,41398.549832022974
54,Female,87582.658249351,Electronics,Yes,45019.38646393805
24,Female,80881.91927543991,Books,No,41149.354456072324
38,Male,70097.62573051323,Clothing,No,36034.29041974127
26,Female,30499.590214591008,Electronics,No,16041.672285621446
56,Male,22602.094359300154,Electronics,No,12451.832828130477
35,Male,93667.82782525495,Clothing,Yes,47468.51207677763
21,Male,69332.02516165905,Clothing,No,35080.69336248604
42,Female,83722.9832780941,Electronics,Yes,42886.85580062637
31,Female,58521.78812100401,Books,Yes,29981.809955035213
26,Female,29384.65511699156,Books,Yes,15276.679459978095
43,Male,30014.863376204034,Books,Yes,15993.47982798251
19,Male,74845.2229783177,Electronics,No,37735.53098099153
37,Male,54424.471591957015,Clothing,No,28016.35272584766
45,Male,36041.97813602694,Electronics,Yes,19132.834832498258
64,Male,59327.56373931495,Clothing,Yes,31068.7134341133
24,Male,25136.714966010728,Books,Yes,13187.538465188736
61,Female,66557.7121531519,Books,Yes,34743.593355571196
25,Female,41519.47235480782,Clothing,No,21318.121848916544
64,Female,83804.72805097504,Clothing,Yes,43202.05485935249
52,Female,44828.9567138859,Electronics,No,23668.429861209454
31,Male,56417.611926544094,Books,Yes,29015.91802637544
34,Male,20929.64319264805,Electronics,Yes,11300.650763799606
53,Female,25795.75102356471,Electronics,Yes,14056.83841172411
57,Male,51399.484512534786,Electronics,Yes,26939.880221368192
21,Female,58395.10677736988,Books,No,29554.87609347183
19,Female,68001.6438495443,Electronics,No,34587.11657779287
23,Female,43333.00629674426,Electronics,No,22329.268279325042
59,Male,75598.55089012341,Electronics,Yes,38948.10717001503
21,Female,88809.79177513637,Electronics,Yes,45026.6590959588
46,Female,82388.07911146799,Electronics,No,42249.449721234894
35,Female,23169.50602786857,Electronics,No,12277.555602895205
43,Male,58440.55578062632,Books,Yes,30029.677870205913
61,Male,28394.41427345399,Electronics,Yes,15554.556463667166
51,Female,39363.601269002196,Clothing,No,20727.030223110407
27,Male,98933.00746137172,Electronics,Yes,50288.49861574083
53,Male,31399.643432121058,Electronics,Yes,16955.08155552542
31,Male,59911.05227610849,Books,No,30672.895451727465
48,Male,69452.45874544952,Books,Yes,35808.537273125
32,Male,76197.19764352831,Clothing,No,38921.68553980087
25,Male,64771.894678953126,Clothing,Yes,33040.5991486493
31,Male,20781.667793534692,Books,No,11110.810540616949
40,Male,46116.90465951935,Books,Yes,23830.426212129925
57,Male,61416.931470776915,Electronics,No,32234.66043192908
38,Male,27029.31993158667,Books,No,14214.34169006251
33,Female,48050.15449673446,Clothing,No,24718.822974657214
62,Female,22656.248703309324,Electronics,No,12497.651524013661
35,Male,26286.27977240166,Clothing,Yes,13967.019702077756
64,Female,51753.86209612769,Electronics,Yes,27287.042091792326
41,Female,30617.26032344483,Books,No,16270.15780555889
43,Male,65403.26786092465,Clothing,Yes,33457.72736735188
42,Male,75157.19753098127,Electronics,Yes,38629.889332228726
62,Male,84046.93592872663,Electronics,Yes,43282.72442421635
58,Female,36012.019539584806,Books,Yes,19236.109249856017
46,Female,33398.60658072558,Books,Yes,17797.460417230897
32,Male,28365.42722675202,Books,No,14898.8402817892
